duration_s,avg_climb,max_climb,climb_std,avg_turn,turn_std,entry_alt,exit_alt,alt_gain,entry_agl,exit_agl,entry_terrain_alt,thermal_quality
251,1.4455749936861175,2.6,0.6311514738434667,6.047780014027277,6.973387617090041,1668,2044,362.0,60.0,127.0,1608.0,117.23678160919538
23,0.82311939268461,1.6,0.3543338052681761,22.05021437001122,4.545924794881907,1973,1996,20.0,274.0,287.0,1699.0,13.788888888888891
67,1.7436460554371005,5.2,1.1858807922523475,17.530299518985974,6.111728257490113,1802,1936,121.0,294.0,387.0,1508.0,90.51428571428572
99,1.0789761248852157,2.4,0.5633725375103122,10.943775115631707,6.024200637110092,1592,1701,105.0,182.0,269.0,1410.0,90.455
99,0.863318504628665,1.0,0.3079440114789764,-17.012640058853044,4.143533881098834,1675,1751,86.0,240.0,247.0,1435.0,7.8181818181818175
44,0.7727272727272726,1.8,0.4140199514564049,-12.42874317303861,4.586730519411604,1741,1774,29.0,355.0,374.0,1386.0,4.000000000000001
243,1.356625764225116,2.4,0.5870470243847776,19.041367908920193,5.105143408751287,1703,2053,330.0,213.0,374.0,1490.0,133.28925619834712
31,0.956575682382134,1.8,0.5235126278195609,21.528240625278325,4.978789980324224,1468,1498,30.0,83.0,96.0,1385.0,6.0
25,0.8051636363636363,1.0,0.1978622493135572,19.05608653721962,4.362604905483359,1692,1715,22.0,161.0,178.0,1531.0,16.60909090909091
34,0.982908496732026,1.2,0.3577806024767785,17.590632935817872,3.893330663507652,1625,1662,36.0,134.0,96.0,1491.0,3.333333333333333
50,0.7496333333333333,1.2,0.2932109798122487,17.746813678275032,2.3233808137880736,1590,1642,38.0,99.0,142.0,1491.0,7.174999999999999
142,2.496193243376342,3.2,0.8272353208664632,-15.65000005744958,6.229582823436876,1951,2317,353.0,126.0,233.0,1825.0,140.63636363636363
118,1.8295942276529584,3.8,0.9146789315722352,-12.403851555500118,6.233311107685504,1952,2178,216.0,239.0,320.0,1713.0,48.68333333333334
25,0.9816444444444444,0.8,1.012770409613386,0.7636931700376524,12.99774802323184,1950,1983,28.0,7.0,8.0,1943.0,0.8
20,1.0870000000000002,2.4,0.4724925734223074,10.315091422324898,6.536287082563533,1953,1987,29.0,13.0,17.0,1940.0,5.76
239,1.5643634512265705,3.0,0.5491329715368849,-15.34057951327509,6.671831429167761,1943,2284,380.0,237.0,260.0,1706.0,173.81981981981983
185,1.3443613552202511,2.8,0.5946214475786087,-15.92595368784832,7.565936382731685,1362,1621,250.0,144.0,697.0,1218.0,228.39018404907975
61,0.9107302533532045,1.4,0.4974823120438715,0.0015901512385037,3.4552215311172185,1627,1695,57.0,24.0,26.0,1603.0,1.2999999999999998
111,1.099175329175329,1.8,0.5895671924361187,-15.546483435921044,5.129422267034601,1763,1883,117.0,358.0,365.0,1405.0,18.81
32,1.0011160714285714,1.4,0.296985128264594,-12.081157225018682,4.334882681138122,1861,1891,34.0,376.0,380.0,1485.0,3.5999999999999996
26,1.2556776556776557,2.2,0.7162854952711194,-16.723701186950777,7.264412992852475,1541,1572,35.0,201.0,292.0,1340.0,24.761904761904763
173,1.9597701149425288,3.4,0.7892903505666897,-20.529389303393913,6.7240495695645945,1525,1863,338.0,167.0,622.0,1358.0,339.0402298850575
82,0.8526231956197112,1.8,0.4219725409291541,19.641342036764783,4.814720354356547,1777,1848,70.0,185.0,295.0,1592.0,43.29795918367347
80,1.3495147679324897,0.6,0.4364366422214637,-14.006789608526844,5.343944445829216,1760,1872,109.0,224.0,268.0,1536.0,0.9333333333333332
134,1.2030337893864012,3.0,0.6782952440527258,-16.836111384938338,5.182718863477127,1594,1748,172.0,272.0,299.0,1322.0,23.8125
69,1.4983127839065542,1.2,0.8206114223099364,-11.864755936531784,4.779106598504784,1656,1763,106.0,454.0,459.0,1202.0,3.3000000000000003
35,1.1913250517598344,2.2,0.5539192291575596,-16.450674139295938,8.128450151578603,1729,1768,43.0,444.0,559.0,1285.0,28.313043478260873
217,1.2397959305836823,2.2,0.6715395222917617,1.4829198825478984,6.033293376520263,1413,1641,275.0,270.0,257.0,1143.0,24.910344827586204
85,1.2682311661506709,2.4,0.6635029557788871,-13.35195380311908,6.741302916912145,1562,1678,113.0,273.0,286.0,1289.0,10.98
29,0.9311111111111112,0.8,0.3662025764702439,11.96098400754701,4.454103168907636,1019,1050,26.0,298.0,300.0,721.0,2.0999999999999996
